8	17	2	5	4	1	10	66
1	5	16
1	4	6
2	7	16
1	0	
2	1	
3	1	
4	0	
5	0	
6	0	
7	0	
8	1	
9	1	
10	0	
1	5	0	0
2	3	0	0
3	1	0	0
4	6	0	0
5	2	0	0
6	5	13	6
7	2	1	4
8	3	1	2
9	1	9	9
10	3	7	9
11	6	3	7
12	4	7	5
13	4	9	5
14	6	11	3
15	6	5	6
16	6	13	8
17	5	1	5
18	2	9	4
19	1	11	10
20	1	7	1
21	1	15	4
22	6	4	6
23	4	13	7
24	2	5	5
25	5	5	5
26	5	9	6
27	3	13	6
28	5	3	6
29	1	1	9
30	6	15	6
31	1	8	2
32	2	3	3
33	3	9	1
34	5	4	7
35	1	5	10
36	1	13	2
37	6	14	4
38	4	8	6
39	1	10	1
40	2	4	10
41	3	11	5
42	6	7	5
43	3	10	4
44	4	3	2
45	1	12	7
46	4	1	4
47	2	13	6
48	2	15	10
49	3	5	7
50	4	5	6
51	6	6	5
52	5	15	7
53	6	1	6
54	2	14	1
55	4	4	1
56	3	6	1
57	6	2	9
58	4	11	5
59	2	2	7
60	5	11	10
61	3	12	8
62	4	10	4
63	1	6	8
64	1	3	3
65	3	15	8
66	6	12	2
