8	19	2	4	5	1	12	59
1	4	18
1	1	13
2	7	18
1	0	
2	0	
3	1	
4	0	
5	0	
6	0	
7	1	
8	1	
9	0	
10	0	
11	2	
12	0	
1	3	0	0
2	1	0	0
3	2	0	0
4	1	0	0
5	6	9	3
6	4	13	9
7	5	3	8
8	3	3	8
9	3	17	11
10	4	1	12
11	3	1	7
12	1	15	10
13	5	15	11
14	1	7	10
15	3	2	4
16	2	5	6
17	5	13	12
18	1	9	11
19	1	5	8
20	6	5	12
21	5	5	1
22	2	1	2
23	1	17	3
24	4	11	10
25	3	15	1
26	5	7	1
27	5	4	6
28	3	13	4
29	2	7	11
30	2	13	8
31	1	3	6
32	2	15	8
33	1	1	2
34	2	6	9
35	6	3	7
36	6	1	11
37	1	13	7
38	4	9	5
39	5	9	1
40	4	12	8
41	4	15	4
42	5	1	12
43	1	4	2
44	1	8	4
45	6	17	10
46	5	6	2
47	5	17	2
48	5	2	2
49	6	2	7
50	2	9	12
51	4	3	10
52	3	9	11
53	6	15	9
54	1	11	5
55	3	7	1
56	1	10	1
57	4	5	7
58	6	7	10
59	3	5	3
