tedade Kalaf	363
tedade r	9
tedade n	73
tedade darb	1
tedade type	16
tedade m	2
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeD	1
darb	r	n
1	1	72
jaresaghil	r	n
1	3	24
2	8	38
	darb
Type	1	
1	2	
2	4	
3	2	
4	0	
5	1	
6	3	
7	1	
8	1	
9	0	
10	2	
11	4	
12	1	
13	3	
14	5	
15	1	
16	2	
kalaf	r	n	type
1	1	0	0
2	7	0	0
3	3	0	0
4	5	0	0
5	2	0	0
6	7	0	0
7	3	0	0
8	2	0	0
9	4	0	0
10	2	0	0
11	7	0	0
12	3	0	0
13	2	0	0
14	6	0	0
15	3	0	0
16	1	0	0
17	6	0	0
18	4	0	0
19	3	0	0
20	3	0	0
21	3	0	0
22	6	0	0
23	7	0	0
24	7	0	0
25	4	0	0
26	3	0	0
27	3	0	0
28	1	0	0
29	3	0	0
30	2	0	0
31	2	27	5
32	2	13	13
33	7	31	4
34	4	65	16
35	1	27	8
36	7	57	7
37	1	35	10
38	1	67	4
39	5	43	3
40	1	45	6
41	5	45	9
42	2	35	1
43	2	9	5
44	7	49	8
45	2	1	14
46	5	9	5
47	7	11	5
48	7	53	10
49	2	43	7
50	7	35	2
51	4	13	13
52	4	23	15
53	3	31	16
54	6	19	6
55	6	37	5
56	6	7	4
57	7	27	2
58	4	67	11
59	1	29	3
60	5	25	10
61	2	67	2
62	6	59	4
63	7	15	11
64	4	43	13
65	5	17	9
66	7	71	4
67	2	31	16
68	7	9	14
69	1	33	5
70	5	61	3
71	4	61	10
72	5	65	15
73	1	49	7
74	3	57	13
75	6	9	5
76	4	63	1
77	6	51	6
78	6	71	6
79	5	44	4
80	1	17	11
81	4	17	16
82	6	33	5
83	3	1	8
84	4	64	15
85	2	33	12
86	5	19	13
87	4	15	8
88	1	25	11
89	3	59	16
90	2	11	8
91	3	7	12
92	1	37	5
93	2	32	15
94	4	25	15
95	2	17	9
96	7	61	14
97	2	61	1
98	6	25	10
99	7	3	7
100	5	41	10
101	3	69	8
102	5	49	1
103	6	23	13
104	5	37	6
105	3	9	3
106	4	24	1
107	1	53	9
108	4	7	13
109	4	66	8
110	3	35	6
111	1	23	2
112	7	5	11
113	7	13	13
114	5	27	8
115	6	55	8
116	7	67	16
117	3	43	9
118	1	61	13
119	1	57	1
120	5	53	4
121	3	39	2
122	5	59	16
123	5	3	15
124	6	63	11
125	5	51	16
126	6	27	6
127	1	55	5
128	5	21	5
129	6	35	15
130	2	69	16
131	2	53	3
132	6	5	13
133	3	23	1
134	6	53	9
135	4	45	10
136	6	49	15
137	3	58	3
138	1	11	16
139	5	11	13
140	2	37	15
141	1	7	15
142	2	10	13
143	7	69	9
144	7	12	2
145	1	3	14
146	2	25	3
147	1	34	11
148	7	70	3
149	4	69	14
150	7	25	9
151	2	65	4
152	3	19	16
153	3	45	13
154	5	15	16
155	3	17	10
156	7	10	14
157	6	8	6
158	6	52	6
159	3	61	14
160	3	60	12
161	2	15	10
162	5	63	10
163	5	7	9
164	1	63	4
165	2	39	14
166	5	55	11
167	1	65	11
168	7	59	13
169	7	29	14
170	6	3	1
171	1	39	15
172	2	68	7
173	1	47	5
174	4	51	8
175	5	42	11
176	7	68	11
177	6	36	16
178	4	53	10
179	7	55	10
180	6	31	13
181	2	12	5
182	6	50	6
183	1	71	2
184	1	56	3
185	7	21	2
186	7	51	8
187	4	9	16
188	4	14	4
189	5	20	2
190	6	45	4
191	2	41	10
192	5	57	8
193	1	5	14
194	2	38	2
195	3	51	2
196	2	51	1
197	4	33	12
198	4	5	13
199	2	29	8
200	4	55	16
201	6	29	4
202	6	4	10
203	1	9	7
204	4	47	14
205	4	19	4
206	1	66	10
207	2	3	6
208	7	14	2
209	7	58	6
210	5	13	4
211	3	49	11
212	5	56	9
213	5	12	11
214	2	57	10
215	4	44	15
216	2	21	6
217	3	44	10
218	5	10	14
219	2	66	14
220	6	17	10
221	7	17	1
222	1	48	1
223	4	35	9
224	1	10	16
225	2	7	3
226	4	46	12
227	2	49	2
228	5	64	13
229	5	29	6
230	1	24	6
231	4	31	13
232	2	71	6
233	2	59	9
234	2	40	8
235	5	26	13
236	5	67	16
237	2	2	13
238	2	14	4
239	1	6	14
240	3	53	7
241	7	26	3
242	7	23	9
243	3	52	6
244	3	63	10
245	2	42	15
246	7	41	7
247	3	67	2
248	5	1	13
249	7	16	8
250	5	28	13
251	5	8	8
252	5	69	5
253	7	52	16
254	2	52	6
255	6	21	10
256	5	66	9
257	3	15	4
258	2	36	3
259	4	21	10
260	6	1	13
261	4	57	4
262	5	62	12
263	4	37	16
264	6	32	14
265	7	1	16
266	4	49	7
267	5	2	7
268	4	52	4
269	1	4	4
270	7	56	1
271	1	28	14
272	3	47	5
273	4	48	1
274	4	1	1
275	6	69	3
276	5	18	6
277	2	45	3
278	2	34	9
279	4	18	11
280	1	21	13
281	4	11	1
282	4	20	8
283	5	23	9
284	4	68	12
285	7	65	7
286	6	67	1
287	6	20	6
288	4	41	7
289	4	42	7
290	6	30	5
291	6	18	12
292	7	7	5
293	7	43	16
294	5	5	13
295	2	44	4
296	1	26	2
297	3	27	15
298	2	58	9
299	7	8	13
300	6	68	7
301	7	37	8
302	6	54	1
303	2	50	8
304	4	16	12
305	6	70	2
306	5	60	6
307	4	12	13
308	1	31	9
309	1	64	10
310	1	19	6
311	5	33	14
312	6	2	5
313	7	36	5
314	3	46	15
315	5	54	12
316	7	47	4
317	1	36	6
318	4	56	5
319	3	29	7
320	6	6	16
321	6	26	9
322	7	2	14
323	5	14	2
324	3	21	7
325	7	6	5
326	5	6	6
327	2	8	11
328	3	3	10
329	4	6	5
330	1	43	8
331	7	28	9
332	3	13	3
333	2	28	5
334	1	32	10
335	3	28	13
336	6	15	4
337	2	47	1
338	1	22	12
339	2	48	1
340	1	62	14
341	3	33	8
342	1	41	6
343	7	66	2
344	3	18	14
345	3	71	5
346	6	28	15
347	6	61	2
348	7	45	16
349	4	62	11
350	4	3	8
351	4	39	9
352	5	16	3
353	6	60	12
354	5	71	11
355	3	2	7
356	4	34	11
357	4	10	3
358	6	47	2
359	7	50	14
360	7	39	9
361	1	18	2
362	2	16	11
363	3	37	8
