tedade Kalaf	352
tedade r	10
tedade n	73
tedade darb	1
tedade type	17
tedade m	2
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeD	1
darb	r	n
1	1	72
jaresaghil	r	n
1	3	0
2	6	20
	darb
Type	1	
1	2	
2	1	
3	4	
4	2	
5	2	
6	2	
7	2	
8	4	
9	2	
10	0	
11	1	
12	1	
13	1	
14	2	
15	2	
16	3	
17	3	
kalaf	r	n	type
1	8	0	0
2	3	0	0
3	1	0	0
4	7	0	0
5	3	0	0
6	1	0	0
7	8	0	0
8	2	0	0
9	2	0	0
10	4	0	0
11	4	0	0
12	5	0	0
13	7	0	0
14	2	0	0
15	7	0	0
16	6	0	0
17	7	0	0
18	8	0	0
19	4	0	0
20	6	0	0
21	6	0	0
22	5	0	0
23	8	0	0
24	7	0	0
25	8	0	0
26	2	0	0
27	3	0	0
28	3	0	0
29	4	0	0
30	8	0	0
31	3	0	0
32	6	0	0
33	7	0	0
34	7	0	0
35	7	0	0
36	5	0	0
37	6	3	11
38	7	61	11
39	3	49	10
40	3	39	10
41	6	25	10
42	8	43	11
43	6	13	9
44	5	57	4
45	7	69	6
46	5	69	8
47	4	49	5
48	8	9	4
49	6	65	11
50	6	71	4
51	2	33	14
52	6	47	16
53	4	9	3
54	1	43	3
55	1	23	15
56	3	65	2
57	2	55	6
58	1	71	7
59	2	57	12
60	5	53	15
61	3	57	2
62	7	15	10
63	2	59	7
64	2	3	7
65	7	3	12
66	8	17	12
67	7	47	2
68	3	59	15
69	7	55	1
70	2	63	9
71	4	39	8
72	2	35	1
73	8	45	10
74	2	37	3
75	1	65	9
76	8	61	2
77	1	19	15
78	8	11	3
79	1	31	3
80	6	51	1
81	1	25	12
82	4	45	7
83	8	53	12
84	3	7	3
85	2	36	5
86	5	27	4
87	4	35	3
88	4	51	16
89	8	23	13
90	6	9	12
91	2	39	1
92	3	19	4
93	6	69	14
94	6	33	17
95	2	71	4
96	7	43	12
97	3	51	4
98	4	55	13
99	3	50	15
100	1	63	5
101	3	53	2
102	2	13	15
103	2	38	13
104	6	41	16
105	4	59	17
106	3	3	6
107	5	33	1
108	8	13	1
109	4	53	4
110	6	35	3
111	1	5	5
112	8	51	13
113	5	13	15
114	8	39	4
115	6	61	12
116	8	71	1
117	6	11	7
118	4	3	3
119	8	31	8
120	3	5	17
121	2	9	13
122	5	35	5
123	3	6	8
124	2	21	5
125	4	7	7
126	3	55	14
127	2	43	17
128	3	21	1
129	2	27	7
130	4	25	3
131	8	59	8
132	3	13	13
133	1	13	4
134	7	33	3
135	7	17	13
136	2	45	1
137	4	8	12
138	7	16	5
139	7	67	11
140	7	59	1
141	7	25	11
142	8	69	5
143	4	41	3
144	3	58	11
145	1	69	6
146	3	54	9
147	1	39	2
148	1	59	12
149	5	49	14
150	3	35	14
151	7	53	17
152	6	31	11
153	3	15	6
154	8	37	9
155	6	32	17
156	3	33	10
157	6	55	6
158	5	9	5
159	6	21	17
160	4	31	16
161	3	71	2
162	1	27	7
163	8	25	12
164	2	44	15
165	6	27	6
166	8	7	17
167	4	37	17
168	3	47	13
169	3	48	5
170	1	41	2
171	4	23	7
172	7	21	3
173	1	49	7
174	4	54	13
175	7	41	15
176	2	15	10
177	5	19	7
178	6	5	12
179	6	26	4
180	3	52	9
181	4	63	17
182	3	14	12
183	3	25	5
184	2	67	12
185	1	47	13
186	4	1	6
187	3	20	5
188	6	45	16
189	5	45	16
190	4	15	7
191	8	12	4
192	2	65	13
193	2	69	4
194	7	7	17
195	5	41	11
196	8	65	13
197	5	29	10
198	8	33	7
199	5	51	17
200	1	40	14
201	3	29	4
202	7	63	17
203	6	63	14
204	8	21	3
205	3	56	10
206	3	11	1
207	2	66	9
208	8	35	3
209	6	70	4
210	6	19	1
211	8	19	4
212	3	61	8
213	8	22	9
214	4	2	6
215	7	11	4
216	6	17	9
217	6	18	9
218	2	29	11
219	7	23	4
220	3	23	7
221	6	57	8
222	2	49	15
223	5	59	13
224	4	36	16
225	2	14	10
226	8	1	5
227	6	7	15
228	2	25	1
229	2	28	4
230	2	26	1
231	7	62	6
232	7	45	11
233	1	61	12
234	1	29	8
235	5	1	1
236	7	57	10
237	1	28	2
238	7	13	4
239	1	21	7
240	1	9	5
241	6	12	17
242	7	9	17
243	8	15	4
244	1	17	2
245	5	17	3
246	4	40	7
247	4	17	3
248	7	5	4
249	3	24	9
250	7	42	13
251	5	34	7
252	8	44	14
253	1	3	2
254	4	65	6
255	5	47	16
256	7	4	10
257	3	43	13
258	5	37	17
259	7	24	11
260	2	1	15
261	8	38	16
262	2	51	4
263	5	61	4
264	5	15	14
265	8	70	6
266	5	71	9
267	3	34	6
268	1	24	6
269	5	55	12
270	5	14	9
271	5	48	12
272	6	64	8
273	3	37	3
274	3	45	9
275	1	62	9
276	5	65	5
277	7	37	16
278	1	51	13
279	4	47	8
280	7	65	14
281	5	58	8
282	5	52	1
283	1	64	8
284	5	46	16
285	3	41	1
286	1	70	3
287	8	8	11
288	5	60	17
289	3	67	13
290	1	11	4
291	1	45	15
292	1	12	2
293	1	44	2
294	2	7	14
295	5	5	15
296	2	23	16
297	5	7	3
298	6	6	9
299	2	22	13
300	2	50	13
301	5	11	5
302	6	29	14
303	3	40	4
304	6	62	15
305	5	8	1
