10	71	2	27	34	1	11	360
1	4	70
1	1	1
2	7	15
1	3	
2	3	
3	3	
4	0	
5	3	
6	5	
7	8	
8	2	
9	2	
10	4	
11	1	
1	6	0	0
2	7	0	0
3	4	0	0
4	3	0	0
5	3	0	0
6	6	0	0
7	1	0	0
8	3	0	0
9	3	0	0
10	6	0	0
11	8	0	0
12	4	0	0
13	5	0	0
14	8	0	0
15	7	0	0
16	6	0	0
17	4	0	0
18	5	0	0
19	1	0	0
20	6	0	0
21	2	0	0
22	3	0	0
23	2	0	0
24	7	0	0
25	6	0	0
26	5	0	0
27	7	0	0
28	6	61	4
29	6	53	6
30	8	27	10
31	2	11	9
32	2	63	8
33	2	35	9
34	1	61	4
35	6	43	3
36	7	19	9
37	6	41	10
38	7	47	10
39	7	17	3
40	6	63	10
41	4	11	11
42	4	13	8
43	6	5	7
44	7	11	9
45	3	47	1
46	6	7	3
47	8	69	6
48	4	1	3
49	5	65	1
50	3	3	9
51	8	43	4
52	5	15	1
53	3	65	1
54	8	39	8
55	6	62	10
56	5	5	6
57	6	57	1
58	4	43	2
59	3	61	7
60	1	39	7
61	1	25	4
62	1	5	8
63	6	1	7
64	7	25	2
65	5	13	7
66	2	65	9
67	6	42	11
68	8	49	2
69	4	47	4
70	3	21	7
71	6	47	2
72	7	53	6
73	4	65	2
74	4	57	11
75	1	37	3
76	7	59	1
77	8	37	8
78	6	69	7
79	3	11	10
80	4	27	9
81	3	29	9
82	2	5	4
83	5	67	9
84	5	17	9
85	1	59	4
86	6	55	1
87	3	17	6
88	8	13	11
89	4	67	6
90	2	41	6
91	1	55	10
92	1	65	4
93	7	63	3
94	8	17	4
95	2	55	4
96	8	7	7
97	8	57	6
98	3	7	11
99	2	64	6
100	8	11	9
101	6	19	8
102	7	65	8
103	5	25	9
104	7	35	5
105	8	19	9
106	2	19	9
107	6	17	11
108	6	49	6
109	6	23	10
110	5	41	5
111	8	47	3
112	5	37	9
113	5	9	1
114	1	57	9
115	3	15	10
116	1	56	1
117	6	65	5
118	8	29	5
119	1	11	5
120	7	61	1
121	4	35	5
122	4	37	5
123	2	21	2
124	7	62	11
125	8	23	9
126	3	45	2
127	8	38	5
128	8	65	5
129	2	25	1
130	2	57	5
131	7	9	11
132	2	13	11
133	8	9	2
134	1	27	3
135	1	69	4
136	4	61	3
137	1	23	7
138	1	3	5
139	8	53	2
140	6	67	5
141	1	53	2
142	2	12	6
143	6	21	10
144	2	9	3
145	6	15	5
146	3	27	11
147	2	49	4
148	4	5	5
149	3	69	6
150	7	27	1
151	1	33	9
152	7	64	6
153	4	29	1
154	1	63	4
155	5	19	5
156	6	51	1
157	4	53	9
158	4	33	7
159	1	21	8
160	4	55	11
161	1	15	9
162	7	39	8
163	1	45	5
164	2	7	8
165	3	39	7
166	2	37	4
167	5	55	7
168	4	63	4
169	4	3	5
170	2	39	6
171	8	18	9
172	2	56	2
173	1	24	3
174	7	55	4
175	2	40	9
176	5	27	8
177	2	23	8
178	2	22	3
179	3	9	3
180	6	13	11
181	5	26	5
182	2	45	10
183	4	49	3
184	7	57	9
185	6	25	1
186	4	19	7
187	7	31	10
188	3	1	3
189	3	10	6
190	6	66	10
191	1	4	8
192	1	38	6
193	3	37	6
194	3	63	9
195	8	45	2
196	2	47	1
197	3	62	3
198	7	43	5
199	8	59	11
200	6	16	7
201	8	3	10
202	4	64	11
203	6	45	9
204	2	17	3
205	7	67	9
206	4	41	8
207	5	43	7
208	2	15	3
209	6	18	8
210	4	12	10
211	2	14	10
212	2	43	4
213	8	44	3
214	6	6	4
215	5	1	9
216	8	67	11
217	3	16	3
218	4	45	11
219	2	8	9
220	2	44	5
221	5	57	11
222	3	31	11
223	4	56	5
224	8	10	5
225	2	53	4
226	8	8	11
227	5	49	11
228	5	66	8
229	4	28	6
230	1	9	4
231	3	19	9
232	8	66	9
233	2	33	4
234	2	34	2
235	5	23	2
236	6	37	11
237	2	20	3
238	7	13	11
239	1	26	3
240	8	25	6
241	7	21	3
242	3	67	1
243	1	49	8
244	8	12	8
245	5	14	7
246	3	55	4
247	2	36	8
248	4	69	7
249	1	41	5
250	7	58	6
251	7	23	7
252	2	3	11
253	2	42	9
254	5	39	2
255	8	33	7
256	1	29	7
257	1	28	6
258	6	44	10
259	7	18	11
260	4	62	6
261	6	52	4
262	6	56	9
263	7	20	2
264	3	35	1
265	8	24	10
266	3	68	4
267	6	35	1
268	1	19	10
269	3	53	3
270	3	23	3
271	5	63	6
272	4	17	11
273	5	16	8
274	5	35	3
275	4	46	5
276	2	1	2
277	6	50	4
278	2	18	2
279	4	18	4
280	1	35	9
281	1	62	4
282	4	51	8
283	4	2	8
284	3	51	11
285	8	61	11
286	3	38	4
287	3	30	6
288	3	41	3
289	2	61	7
290	5	3	4
291	1	40	11
292	4	7	7
293	8	68	10
294	2	6	1
295	5	45	10
296	1	34	10
297	4	59	5
298	4	34	1
299	5	33	6
300	6	9	9
301	4	66	4
302	7	66	11
303	2	24	9
304	6	3	3
305	4	31	7
