10	73	3	29	28	1	16	263
1	2	72
1	4	26
2	5	38
3	7	3
1	2	
2	2	
3	4	
4	2	
5	3	
6	2	
7	1	
8	0	
9	0	
10	1	
11	1	
12	4	
13	1	
14	1	
15	2	
16	2	
1	4	0	0
2	6	0	0
3	7	0	0
4	5	0	0
5	2	0	0
6	3	0	0
7	3	0	0
8	2	0	0
9	3	0	0
10	2	0	0
11	7	0	0
12	2	0	0
13	4	0	0
14	3	0	0
15	3	0	0
16	2	0	0
17	4	0	0
18	5	0	0
19	7	0	0
20	4	0	0
21	3	0	0
22	4	0	0
23	5	0	0
24	3	0	0
25	6	0	0
26	5	0	0
27	2	0	0
28	6	0	0
29	6	0	0
30	7	45	5
31	5	45	10
32	7	39	4
33	6	25	4
34	3	29	12
35	7	41	11
36	7	15	14
37	3	69	1
38	3	35	12
39	3	43	1
40	2	57	7
41	3	9	9
42	2	61	14
43	2	27	5
44	5	57	13
45	5	43	4
46	4	71	6
47	3	71	12
48	4	23	8
49	5	9	2
50	5	21	14
51	2	69	16
52	7	37	12
53	3	63	9
54	3	23	3
55	5	13	13
56	6	67	13
57	5	31	9
58	2	33	2
59	4	49	1
60	2	55	8
61	5	67	8
62	2	49	12
63	3	3	9
64	5	29	10
65	6	27	13
66	3	39	4
67	4	67	5
68	3	55	5
69	6	1	7
70	5	51	9
71	2	23	8
72	3	67	14
73	4	39	12
74	6	65	13
75	6	19	5
76	2	11	8
77	7	65	2
78	3	33	12
79	7	17	3
80	5	59	12
81	2	1	10
82	5	7	12
83	5	39	10
84	4	19	5
85	3	47	14
86	5	3	1
87	5	17	10
88	4	41	3
89	2	71	5
90	4	27	8
91	7	13	12
92	5	30	7
93	7	3	13
94	3	61	7
95	2	35	9
96	4	69	8
97	7	51	14
98	5	61	8
99	4	68	9
100	4	11	13
101	4	37	9
102	6	9	14
103	7	53	1
104	4	70	6
105	6	61	1
106	6	7	9
107	7	57	2
108	2	34	5
109	6	53	2
110	3	62	13
111	4	17	16
112	3	15	12
113	4	55	1
114	3	19	11
115	2	37	16
116	3	13	10
117	6	8	9
118	2	47	5
119	3	17	2
120	6	23	13
121	7	55	16
122	6	69	1
123	7	54	15
124	6	41	12
125	2	56	5
126	7	31	15
127	6	31	9
128	5	27	7
129	4	31	15
130	5	15	13
131	7	40	6
132	3	57	13
133	2	70	16
134	6	15	5
135	3	56	12
136	2	41	10
137	5	63	4
138	6	24	7
139	4	13	3
140	7	21	8
141	5	5	8
142	3	70	14
143	3	27	5
144	3	28	7
145	2	45	12
146	6	68	5
147	7	23	13
148	5	28	8
149	7	27	15
150	2	63	1
151	4	51	6
152	7	47	3
153	3	21	4
154	5	25	6
155	6	51	2
156	2	53	3
157	3	37	15
158	5	37	6
159	6	35	7
160	6	59	10
161	3	36	2
162	3	41	5
163	5	8	13
164	4	12	12
165	4	33	8
166	7	63	7
167	2	19	12
168	3	25	2
169	5	58	11
170	7	49	1
171	2	62	11
172	5	4	1
173	7	11	13
174	2	67	13
175	5	33	10
176	3	26	5
177	5	1	9
178	2	9	4
179	3	51	8
180	5	55	6
181	4	63	11
182	2	43	2
183	6	3	12
184	2	65	8
185	5	6	6
186	7	69	14
187	5	16	10
188	3	16	6
189	4	53	3
190	5	60	16
191	7	14	2
192	5	65	12
193	7	5	7
194	2	17	9
195	7	52	15
196	5	56	5
197	4	57	5
198	3	14	4
199	7	29	12
200	7	16	14
201	5	14	11
202	7	28	1
203	2	18	2
204	7	1	13
205	6	52	11
206	5	64	1
207	3	20	7
208	2	36	4
209	4	61	7
210	7	61	16
211	3	18	9
212	4	32	14
213	6	17	5
214	7	71	8
215	6	2	9
216	3	24	9
217	6	57	13
218	4	35	1
219	3	5	6
220	3	22	7
221	4	54	5
222	3	42	16
223	6	58	15
224	7	25	14
225	6	26	8
226	7	30	3
227	3	49	11
228	4	5	3
229	2	44	3
230	4	40	11
231	6	71	1
232	7	2	4
233	4	56	7
234	7	7	16
235	3	53	11
236	2	51	16
237	3	38	3
238	3	11	7
239	2	64	14
240	4	36	9
241	5	32	12
242	3	4	7
243	5	62	11
244	6	11	14
245	2	48	2
246	4	15	16
247	7	48	1
248	7	6	14
249	6	21	9
250	3	1	9
251	6	29	10
252	7	50	15
253	6	37	15
254	7	19	16
255	3	68	13
256	6	5	1
257	4	65	2
258	3	2	13
259	4	1	8
260	5	26	4
261	2	15	11
262	5	71	1
263	7	67	2
