9	73	2	30	25	1	20	317
1	5	72
1	0	69
2	8	35
1	0	
2	1	
3	1	
4	2	
5	2	
6	3	
7	1	
8	1	
9	0	
10	1	
11	3	
12	0	
13	0	
14	1	
15	1	
16	0	
17	1	
18	4	
19	2	
20	1	
1	7	0	0
2	7	0	0
3	1	0	0
4	7	0	0
5	7	0	0
6	6	0	0
7	1	0	0
8	6	0	0
9	7	0	0
10	5	0	0
11	6	0	0
12	5	0	0
13	2	0	0
14	5	0	0
15	2	0	0
16	3	0	0
17	4	0	0
18	2	0	0
19	7	0	0
20	1	0	0
21	1	0	0
22	3	0	0
23	7	0	0
24	5	0	0
25	4	0	0
26	2	0	0
27	6	0	0
28	6	0	0
29	6	0	0
30	2	0	0
31	4	21	3
32	2	3	2
33	7	15	4
34	4	33	2
35	2	45	8
36	7	61	11
37	5	55	9
38	6	67	14
39	3	13	19
40	4	11	20
41	1	7	6
42	4	15	18
43	4	13	12
44	7	55	9
45	4	1	15
46	7	63	5
47	7	62	14
48	2	19	15
49	4	3	4
50	6	55	2
51	6	65	8
52	7	53	13
53	1	45	11
54	5	49	12
55	7	1	17
56	7	39	17
57	3	31	17
58	2	21	5
59	5	41	6
60	5	29	7
61	2	27	2
62	5	33	10
63	3	51	15
64	4	49	1
65	2	49	3
66	2	47	3
67	1	55	8
68	1	63	13
69	3	11	18
70	6	51	19
71	7	31	9
72	5	15	13
73	6	59	3
74	7	33	4
75	4	41	20
76	1	25	4
77	4	71	10
78	7	29	16
79	6	29	10
80	2	39	8
81	1	5	14
82	3	23	15
83	5	23	16
84	6	21	20
85	6	13	12
86	7	57	16
87	4	31	14
88	4	19	16
89	4	45	1
90	6	5	6
91	7	19	8
92	4	63	6
93	1	47	2
94	5	35	13
95	4	43	8
96	7	51	17
97	5	61	9
98	6	66	5
99	1	43	18
100	1	13	1
101	3	63	19
102	4	25	19
103	1	29	6
104	6	27	18
105	1	21	3
106	3	15	15
107	6	69	20
108	5	1	14
109	2	5	1
110	5	59	11
111	2	33	3
112	4	65	8
113	6	25	2
114	2	23	1
115	7	17	5
116	6	43	13
117	7	18	14
118	4	2	19
119	1	6	12
120	2	57	17
121	3	53	15
122	5	53	8
123	1	35	3
124	1	41	14
125	4	44	6
126	1	65	1
127	3	19	10
128	4	14	6
129	4	35	2
130	3	5	20
131	1	59	14
132	1	51	17
133	4	27	14
134	7	9	3
135	1	61	12
136	7	25	11
137	7	54	16
138	2	41	9
139	5	25	3
140	3	41	11
141	1	1	10
142	2	1	11
143	2	9	14
144	3	65	11
145	2	20	12
146	5	37	17
147	3	67	5
148	7	41	14
149	6	61	16
150	5	36	8
151	4	57	20
152	6	15	7
153	5	39	12
154	2	71	10
155	3	59	9
156	3	12	7
157	2	48	15
158	3	66	13
159	6	7	12
160	7	35	16
161	4	9	5
162	3	45	11
163	1	53	19
164	2	69	12
165	1	19	10
166	7	30	15
167	2	29	19
168	2	15	1
169	1	62	16
170	1	11	11
171	5	19	17
172	2	67	8
173	4	42	4
174	1	27	13
175	3	55	3
176	2	35	3
177	1	39	5
178	1	9	4
179	7	47	2
180	3	71	12
181	4	69	13
182	5	71	17
183	7	45	1
184	3	17	18
185	7	23	19
186	5	34	17
187	6	47	4
188	4	51	11
189	1	49	19
190	2	22	18
191	2	28	13
192	4	47	18
193	5	13	14
194	1	44	19
195	1	40	19
196	5	21	17
197	6	33	9
198	3	25	17
199	5	17	7
200	4	34	15
201	1	15	4
202	5	16	7
203	6	1	7
204	7	21	18
205	3	18	10
206	2	63	16
207	4	61	8
208	6	68	16
209	5	3	12
210	6	39	20
211	5	27	6
212	5	22	14
213	7	37	18
214	4	67	3
215	7	38	11
216	3	7	14
217	3	3	1
218	4	50	15
219	7	52	20
220	6	49	2
221	2	25	17
222	2	26	9
223	1	12	13
224	7	43	3
225	2	70	9
226	7	3	16
227	3	24	16
228	5	67	15
229	3	69	6
230	1	8	12
231	3	68	10
232	7	22	8
233	5	9	9
234	6	28	7
235	7	49	20
236	2	59	8
237	2	43	9
238	4	68	11
239	4	59	11
240	3	6	19
241	5	65	5
242	5	51	11
243	1	33	8
244	5	20	9
245	2	40	3
246	7	65	7
247	3	35	19
248	2	11	13
249	7	50	12
250	2	61	7
251	1	31	5
252	1	64	17
253	5	57	3
254	2	68	10
255	6	50	17
256	7	27	15
257	6	57	18
258	4	7	16
259	3	27	7
260	6	45	19
261	1	52	4
262	7	46	8
263	4	32	17
264	3	61	4
265	6	37	6
266	1	54	14
267	7	7	12
268	1	32	3
269	2	34	11
270	5	5	19
271	5	18	8
272	7	40	16
273	1	14	16
274	7	28	7
275	5	14	6
276	5	60	12
277	4	37	4
278	5	26	17
279	1	60	5
280	6	31	10
281	6	46	10
282	2	55	12
283	5	7	16
284	6	41	17
285	6	32	2
286	3	21	13
287	2	51	10
288	5	45	6
289	1	50	18
290	7	36	15
291	3	26	18
292	4	26	1
293	5	50	1
294	4	64	5
295	1	30	2
296	3	54	9
297	3	47	16
298	6	40	5
299	5	43	20
300	5	40	19
301	7	32	2
302	6	71	13
303	3	49	18
304	3	64	16
305	6	42	10
306	4	39	13
307	1	26	13
308	4	62	2
309	3	50	2
310	2	60	5
311	6	17	3
312	1	3	18
313	2	2	15
314	5	54	7
315	4	10	1
316	1	23	13
317	7	69	15
