10	71	2	33	30	1	14	370
1	7	70
1	6	44
2	9	1
1	3	
2	0	
3	1	
4	2	
5	2	
6	2	
7	3	
8	3	
9	2	
10	2	
11	0	
12	3	
13	3	
14	4	
1	5	0	0
2	7	0	0
3	8	0	0
4	2	0	0
5	5	0	0
6	7	0	0
7	7	0	0
8	4	0	0
9	1	0	0
10	1	0	0
11	1	0	0
12	6	0	0
13	1	0	0
14	6	0	0
15	4	0	0
16	5	0	0
17	4	0	0
18	4	0	0
19	4	0	0
20	8	0	0
21	3	0	0
22	6	0	0
23	1	0	0
24	2	0	0
25	3	0	0
26	4	0	0
27	1	0	0
28	1	0	0
29	3	0	0
30	6	0	0
31	1	0	0
32	4	0	0
33	4	0	0
34	4	29	9
35	6	13	7
36	8	39	10
37	1	49	9
38	2	15	4
39	6	61	5
40	1	41	6
41	4	19	11
42	3	59	4
43	2	3	7
44	6	39	11
45	7	55	11
46	7	1	12
47	2	51	10
48	7	43	1
49	4	1	14
50	5	41	4
51	6	21	1
52	7	15	1
53	4	43	12
54	3	27	5
55	2	13	6
56	3	57	12
57	3	11	14
58	6	49	4
59	2	14	6
60	8	45	14
61	7	9	10
62	7	29	13
63	6	59	2
64	4	35	6
65	7	27	2
66	8	11	11
67	7	3	12
68	7	11	5
69	7	2	5
70	7	53	5
71	2	11	6
72	5	43	7
73	3	69	13
74	5	51	4
75	7	10	9
76	1	37	1
77	1	25	9
78	5	15	14
79	3	13	12
80	3	23	6
81	4	7	13
82	5	27	1
83	5	25	9
84	1	59	7
85	2	49	6
86	2	69	10
87	5	39	9
88	8	5	6
89	1	69	6
90	5	37	12
91	5	9	3
92	4	33	3
93	1	1	13
94	6	55	3
95	3	19	12
96	1	39	3
97	1	21	7
98	8	69	4
99	8	13	8
100	8	47	11
101	7	59	2
102	1	17	9
103	3	67	6
104	4	63	6
105	7	39	2
106	8	23	13
107	3	41	7
108	8	35	3
109	5	11	5
110	1	43	10
111	7	28	14
112	2	55	6
113	3	39	2
114	6	27	2
115	6	69	9
116	5	65	9
117	5	5	12
118	1	31	6
119	2	31	12
120	8	37	9
121	4	55	4
122	4	45	2
123	1	40	3
124	8	31	9
125	6	17	11
126	7	51	7
127	4	65	4
128	8	29	12
129	3	12	9
130	3	61	4
131	8	7	6
132	7	37	3
133	6	5	4
134	4	59	8
135	4	31	7
136	1	15	10
137	5	33	7
138	3	3	10
139	5	67	1
140	5	13	2
141	3	21	1
142	5	49	14
143	8	67	2
144	2	39	4
145	4	32	3
146	5	31	8
147	5	29	9
148	8	59	1
149	6	19	4
150	6	37	11
151	8	15	5
152	2	57	2
153	8	17	1
154	1	3	14
155	8	16	3
156	3	65	12
157	2	37	3
158	2	56	11
159	8	38	12
160	4	15	7
161	1	45	3
162	6	43	3
163	1	11	7
164	3	17	13
165	7	63	3
166	2	19	5
167	6	9	11
168	5	1	14
169	8	46	6
170	3	5	11
171	1	61	3
172	3	37	12
173	5	12	9
174	4	57	4
175	7	41	1
176	2	65	11
177	5	32	2
178	8	21	8
179	2	50	1
180	2	5	4
181	7	52	2
182	4	13	12
183	1	35	1
184	4	51	7
185	5	10	1
186	2	38	8
187	7	17	8
188	5	53	12
189	1	60	11
190	4	9	6
191	2	23	14
192	3	49	9
193	1	36	6
194	5	21	6
195	1	29	13
196	2	47	12
197	4	5	14
198	4	56	14
199	8	14	6
200	5	42	13
201	4	11	14
202	6	31	8
203	2	17	10
204	2	67	5
205	8	43	12
206	7	65	1
207	5	40	10
208	2	27	13
209	3	66	10
210	5	28	10
211	8	25	13
212	5	63	14
213	8	22	2
214	3	45	9
215	8	27	7
216	2	18	8
217	1	13	6
218	2	33	3
219	6	67	10
220	7	25	5
221	3	33	1
222	5	66	4
223	4	37	2
224	2	25	8
225	7	16	1
226	2	1	4
227	8	19	1
228	4	21	6
229	7	49	8
230	3	68	14
231	6	63	9
232	8	6	3
233	4	12	2
234	6	62	5
235	8	51	13
236	5	61	3
237	2	61	8
238	7	7	9
239	2	63	3
240	1	42	11
241	1	5	10
242	8	68	8
243	6	11	11
244	2	2	14
245	3	31	11
246	4	44	14
247	1	9	8
248	2	16	9
249	5	55	9
250	5	69	3
251	3	7	12
252	3	32	14
253	3	22	13
254	2	21	1
255	2	12	10
256	4	23	5
257	4	36	13
258	2	22	12
259	8	26	3
260	4	10	3
261	3	9	1
262	2	53	12
263	5	3	6
264	3	53	9
265	4	58	12
266	5	7	8
267	2	24	7
268	8	36	3
269	1	2	12
270	4	20	7
271	3	60	13
272	6	33	8
273	8	61	5
274	2	7	2
275	8	57	1
276	7	64	3
277	8	24	3
278	1	55	2
279	1	44	2
280	6	20	4
281	4	8	7
282	5	59	11
283	6	57	10
284	8	9	6
285	6	1	12
286	2	45	1
287	5	45	5
288	8	65	4
289	2	48	9
290	5	57	14
291	6	45	2
292	2	9	10
293	2	35	2
294	1	4	10
295	7	61	8
296	8	12	8
297	3	25	9
298	7	8	3
299	3	4	9
300	3	47	13
301	5	4	10
302	2	20	11
303	5	56	10
304	2	46	7
305	8	28	12
306	7	45	2
307	6	32	11
308	2	34	10
309	7	35	9
310	4	6	5
311	6	56	12
312	7	36	11
313	6	3	8
314	7	60	10
315	6	38	5
316	5	52	2
317	8	53	6
318	3	15	10
319	6	23	5
320	4	22	6
321	4	17	5
322	8	52	9
323	3	35	7
324	5	62	6
325	5	64	2
326	3	10	14
327	3	16	12
328	1	7	14
329	2	26	1
330	6	60	6
331	5	2	3
332	8	66	5
333	4	27	5
334	2	66	7
335	2	4	4
336	7	31	1
337	5	58	4
338	3	63	8
339	3	48	6
340	8	18	12
341	2	36	8
342	1	57	8
343	7	40	10
344	3	29	9
345	8	33	3
346	8	32	4
347	6	22	6
348	8	44	14
349	4	64	9
350	3	58	12
351	5	44	4
352	5	60	6
353	3	6	11
354	4	3	10
355	6	10	7
356	2	41	5
357	7	23	9
358	5	14	4
359	4	47	5
360	8	8	8
361	5	19	14
362	1	51	7
363	6	65	2
364	4	61	7
365	8	60	3
366	1	63	4
367	5	20	13
368	1	53	9
369	6	4	10
370	4	16	13
