9	73	2	33	28	2	17	306
1	3	72
2	1	72
1	1	23
2	5	71
1	0	2	
2	0	0	
3	0	2	
4	0	1	
5	1	0	
6	1	0	
7	1	1	
8	2	1	
9	2	0	
10	1	1	
11	1	0	
12	1	1	
13	1	2	
14	0	1	
15	1	1	
16	2	1	
17	0	0	
1	1	0	0
2	5	0	0
3	2	0	0
4	1	0	0
5	7	0	0
6	3	0	0
7	7	0	0
8	7	0	0
9	7	0	0
10	7	0	0
11	1	0	0
12	4	0	0
13	1	0	0
14	7	0	0
15	3	0	0
16	4	0	0
17	1	0	0
18	3	0	0
19	5	0	0
20	1	0	0
21	1	0	0
22	3	0	0
23	4	0	0
24	1	0	0
25	6	0	0
26	2	0	0
27	6	0	0
28	6	0	0
29	4	0	0
30	5	0	0
31	6	0	0
32	5	0	0
33	3	0	0
34	5	41	13
35	3	21	8
36	5	25	9
37	6	33	5
38	7	51	7
39	3	67	1
40	6	47	6
41	3	41	5
42	4	13	1
43	3	15	1
44	2	19	15
45	6	15	3
46	1	63	4
47	5	15	10
48	2	9	7
49	2	43	4
50	3	47	3
51	4	31	5
52	1	13	2
53	3	51	16
54	7	21	16
55	2	13	16
56	1	19	2
57	1	3	17
58	4	35	10
59	1	23	11
60	4	23	11
61	2	51	14
62	7	63	3
63	3	13	7
64	7	9	4
65	1	39	10
66	2	17	5
67	5	47	12
68	7	1	2
69	2	47	7
70	5	65	7
71	2	7	5
72	5	69	15
73	1	61	1
74	2	45	12
75	1	37	11
76	3	53	10
77	6	27	13
78	7	43	12
79	3	19	15
80	6	49	17
81	1	31	12
82	7	11	11
83	6	35	14
84	4	29	6
85	1	57	7
86	3	49	12
87	3	52	1
88	4	49	17
89	1	67	3
90	1	33	5
91	2	53	4
92	2	31	8
93	2	65	10
94	5	9	16
95	6	63	3
96	7	17	7
97	5	59	13
98	3	69	9
99	4	55	2
100	1	65	6
101	5	63	15
102	5	31	12
103	3	25	12
104	5	71	12
105	3	35	17
106	5	45	3
107	7	29	9
108	7	13	15
109	5	3	7
110	4	15	3
111	3	27	10
112	5	53	16
113	5	49	17
114	1	17	5
115	6	55	17
116	4	69	1
117	1	15	13
118	6	23	6
119	6	39	9
120	2	55	9
121	4	14	15
122	6	1	14
123	5	67	12
124	5	57	2
125	1	66	9
126	5	68	2
127	6	69	17
128	1	29	2
129	3	43	11
130	2	5	6
131	6	57	7
132	5	58	6
133	5	7	10
134	2	21	2
135	4	30	8
136	2	59	1
137	2	49	15
138	2	61	8
139	2	6	14
140	4	21	16
141	4	47	16
142	4	7	4
143	2	50	7
144	4	3	2
145	7	19	10
146	1	21	1
147	4	37	16
148	2	52	11
149	5	64	5
150	3	71	1
151	6	3	9
152	3	17	9
153	4	17	17
154	2	20	15
155	2	18	11
156	1	69	9
157	3	39	4
158	6	56	13
159	1	11	14
160	4	43	2
161	3	23	1
162	4	67	6
163	5	21	3
164	7	39	5
165	1	1	10
166	6	51	12
167	5	51	6
168	5	5	16
169	7	65	15
170	2	60	1
171	5	55	9
172	4	19	2
173	6	13	9
174	5	48	3
175	4	18	2
176	7	23	2
177	3	22	4
178	1	16	9
179	2	25	16
180	1	49	4
181	4	27	11
182	4	22	4
183	1	47	7
184	1	51	16
185	3	42	1
186	1	53	3
187	5	50	6
188	7	59	13
189	3	68	6
190	7	20	16
191	4	65	9
192	4	39	16
193	1	52	9
194	1	18	5
195	6	45	16
196	3	26	14
197	5	66	12
198	2	46	14
199	7	53	2
200	1	25	2
201	6	9	15
202	4	61	17
203	1	55	8
204	2	71	10
205	7	15	2
206	1	64	14
207	2	23	3
208	3	40	14
209	4	71	17
210	3	45	10
211	7	67	14
212	6	5	16
213	3	61	5
214	5	37	5
215	1	62	15
216	2	33	12
217	4	53	13
218	6	43	9
219	3	7	6
220	5	54	10
221	5	11	4
222	5	8	8
223	3	37	17
224	1	14	12
225	1	48	16
226	7	5	12
227	7	52	8
228	6	61	12
229	6	41	8
230	3	18	13
231	1	41	16
232	5	10	13
233	6	44	2
234	7	35	6
235	2	48	6
236	7	10	1
237	2	35	11
238	4	25	8
239	2	27	17
240	4	36	5
241	6	34	13
242	6	17	13
243	5	29	7
244	5	6	15
245	4	59	14
246	1	71	13
247	6	48	2
248	7	61	7
249	4	9	17
250	7	47	3
251	7	25	6
252	4	60	9
253	5	1	9
254	2	54	5
255	3	55	1
256	5	70	9
257	4	66	9
258	3	3	6
259	3	14	5
260	6	31	10
261	5	27	12
262	1	45	16
263	5	17	16
264	7	7	1
265	2	57	15
266	3	63	2
267	7	69	10
268	6	62	5
269	3	46	15
270	7	41	15
271	3	38	9
272	4	20	5
273	4	11	10
274	3	62	2
275	1	46	5
276	7	60	17
277	3	16	16
278	6	42	14
279	5	39	2
280	4	57	7
281	2	11	10
282	3	9	6
283	6	32	8
284	1	35	4
285	1	54	15
286	3	70	12
287	1	70	10
288	1	40	14
289	1	7	14
290	7	14	13
291	5	40	6
292	2	67	15
293	1	34	4
294	1	22	9
295	4	54	1
296	2	12	12
297	7	64	1
298	4	26	4
299	7	27	6
300	7	3	13
301	1	20	14
302	2	44	1
303	7	66	4
304	3	65	1
305	3	57	1
306	7	24	9
