tedade Kalaf	953
tedade r	10
tedade n	153
tedade darb	1
tedade type	27
tedade m	2
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeD	1
darb	r	n
1	6	152
jaresaghil	r	n
1	7	58
2	9	47
	darb
Type	1	
1	3	
2	4	
3	3	
4	4	
5	2	
6	1	
7	4	
8	1	
9	1	
10	1	
11	3	
12	4	
13	3	
14	2	
15	7	
16	1	
17	4	
18	4	
19	3	
20	3	
21	2	
22	3	
23	4	
24	1	
25	0	
26	3	
27	2	
kalaf	r	n	type
1	6	0	0
2	4	0	0
3	8	0	0
4	2	0	0
5	8	0	0
6	5	0	0
7	1	0	0
8	5	0	0
9	4	0	0
10	7	0	0
11	4	0	0
12	6	0	0
13	3	0	0
14	6	0	0
15	5	0	0
16	1	0	0
17	7	0	0
18	6	0	0
19	7	0	0
20	3	0	0
21	5	0	0
22	3	0	0
23	8	0	0
24	4	0	0
25	6	0	0
26	6	0	0
27	3	0	0
28	4	0	0
29	2	0	0
30	3	0	0
31	4	0	0
32	5	0	0
33	3	0	0
34	7	0	0
35	1	0	0
36	4	0	0
37	7	0	0
38	2	0	0
39	1	0	0
40	2	0	0
41	7	0	0
42	5	0	0
43	1	0	0
44	8	0	0
45	6	0	0
46	5	0	0
47	2	0	0
48	8	0	0
49	5	0	0
50	8	0	0
51	2	0	0
52	8	0	0
53	2	0	0
54	1	0	0
55	6	0	0
56	3	0	0
57	5	0	0
58	5	0	0
59	4	0	0
60	3	0	0
61	2	0	0
62	6	0	0
63	3	0	0
64	2	89	8
65	8	73	10
66	5	27	18
67	1	119	7
68	6	85	18
69	6	41	15
70	1	7	8
71	1	105	19
72	2	105	17
73	3	55	23
74	3	41	4
75	5	67	12
76	3	63	3
77	6	145	26
78	2	145	21
79	7	37	25
80	2	11	8
81	7	145	17
82	7	25	6
83	5	131	9
84	4	117	19
85	4	103	8
86	4	147	14
87	6	107	2
88	4	69	24
89	2	115	19
90	8	87	24
91	1	37	2
92	6	117	15
93	1	63	12
94	8	53	4
95	8	149	26
96	8	9	21
97	4	21	20
98	4	41	13
99	8	35	1
100	8	141	27
101	3	137	16
102	6	57	8
103	8	45	22
104	4	5	19
105	5	35	11
106	5	33	3
107	8	107	7
108	2	151	22
109	8	27	7
110	2	23	5
111	4	27	10
112	6	87	14
113	4	15	21
114	1	121	27
115	6	13	27
116	8	103	6
117	6	65	27
118	5	13	12
119	4	17	12
120	5	139	7
121	1	59	6
122	5	133	17
123	4	57	22
124	7	57	4
125	4	125	17
126	5	85	18
127	7	143	23
128	5	99	1
129	8	23	5
130	8	21	5
131	6	109	11
132	1	77	16
133	4	61	9
134	4	65	27
135	7	9	22
136	4	39	13
137	6	15	25
138	2	1	5
139	6	141	3
140	1	111	17
141	8	117	27
142	5	17	1
143	4	29	8
144	3	103	24
145	4	13	14
146	5	77	7
147	5	73	12
148	5	57	18
149	2	41	2
150	2	79	3
151	3	115	22
152	4	7	19
153	2	83	3
154	1	39	27
155	6	111	11
156	3	61	22
157	1	89	8
158	2	121	21
159	8	47	1
160	2	47	4
161	7	144	16
162	5	149	8
163	3	11	5
164	8	79	6
165	3	139	13
166	1	21	19
167	8	55	27
168	3	21	5
169	5	125	23
170	7	127	9
171	3	19	11
172	2	59	27
173	2	75	21
174	2	43	8
175	2	127	22
176	7	65	4
177	8	57	2
178	1	149	22
179	2	101	4
180	4	83	1
181	2	93	23
182	6	17	6
183	4	37	17
184	8	109	3
185	1	19	2
186	2	55	2
187	2	113	24
188	8	43	17
189	4	73	17
190	1	99	14
191	1	33	18
192	4	6	16
193	6	151	25
194	7	107	23
195	8	49	13
196	8	22	13
197	4	107	23
198	1	137	12
199	7	77	26
200	6	31	16
201	7	137	3
202	3	35	5
203	6	59	20
204	8	121	1
205	2	97	14
206	4	49	16
207	1	53	25
208	6	16	15
209	8	51	2
210	5	65	14
211	7	131	3
212	2	133	15
213	1	139	20
214	6	45	11
215	7	61	13
216	8	1	13
217	8	52	14
218	6	123	26
219	4	47	22
220	8	143	27
221	4	38	21
222	6	69	10
223	1	123	10
224	4	93	15
225	8	11	15
226	5	105	20
227	4	115	4
228	7	55	20
229	8	67	20
230	1	65	26
231	1	145	15
232	3	53	20
233	6	137	26
234	6	23	15
235	3	1	1
236	2	71	2
237	1	141	15
238	5	69	2
239	4	145	24
240	4	139	21
241	3	87	3
242	5	117	6
243	8	133	3
244	1	17	24
245	7	93	26
246	1	113	18
247	7	97	1
248	8	91	12
249	5	71	25
250	6	131	5
251	7	103	24
252	3	93	22
253	4	63	14
254	6	83	25
255	6	67	20
256	3	85	1
257	3	75	9
