9	153	3	43	48	2	25	570
1	6	152
2	5	152
1	3	27
2	5	69
3	7	25
1	2	0	
2	0	0	
3	1	1	
4	2	2	
5	1	1	
6	2	1	
7	0	0	
8	0	2	
9	1	1	
10	1	0	
11	1	0	
12	1	3	
13	1	1	
14	3	2	
15	0	1	
16	0	1	
17	2	0	
18	3	3	
19	0	2	
20	1	0	
21	0	0	
22	1	0	
23	1	1	
24	0	1	
25	0	1	
1	6	0	0
2	2	0	0
3	4	0	0
4	5	0	0
5	2	0	0
6	4	0	0
7	4	0	0
8	5	0	0
9	5	0	0
10	6	0	0
11	6	0	0
12	6	0	0
13	2	0	0
14	5	0	0
15	2	0	0
16	4	0	0
17	4	0	0
18	4	0	0
19	4	0	0
20	5	0	0
21	3	0	0
22	5	0	0
23	4	0	0
24	4	0	0
25	2	0	0
26	6	0	0
27	2	0	0
28	6	0	0
29	2	0	0
30	2	0	0
31	3	0	0
32	2	0	0
33	6	0	0
34	2	0	0
35	5	0	0
36	3	0	0
37	4	0	0
38	6	0	0
39	3	0	0
40	3	0	0
41	6	0	0
42	2	0	0
43	3	0	0
44	2	17	10
45	3	147	11
46	3	107	23
47	6	85	13
48	2	113	18
49	6	23	21
50	3	93	16
51	6	111	14
52	3	31	8
53	5	17	13
54	4	151	16
55	5	133	3
56	2	7	25
57	5	43	23
58	4	53	4
59	2	97	18
60	3	79	12
61	4	41	3
62	5	87	11
63	6	3	24
64	3	59	16
65	2	43	9
66	2	11	9
67	4	57	20
68	4	149	11
69	2	111	1
70	3	81	13
71	5	35	10
72	5	13	8
73	4	21	9
74	3	43	25
75	2	15	1
76	4	147	4
77	4	109	22
78	2	131	21
79	6	45	21
80	4	93	17
81	3	35	25
82	4	143	11
83	2	71	17
84	4	113	22
85	3	103	2
86	2	112	3
87	4	11	20
88	6	27	2
89	4	85	11
90	2	19	12
91	5	89	8
92	5	39	1
93	5	151	23
94	6	21	15
95	5	37	19
96	4	137	9
97	4	103	16
98	3	63	17
99	6	41	5
100	3	5	19
101	6	37	10
102	5	79	24
103	2	27	13
104	5	119	19
105	2	55	3
106	3	119	11
107	6	17	2
108	6	22	24
109	3	121	14
110	5	61	6
111	6	83	24
112	3	41	15
113	4	89	17
114	5	5	20
115	4	99	4
116	3	33	8
117	3	17	7
118	5	71	8
119	5	33	17
120	2	13	8
121	2	127	2
122	4	121	13
123	4	31	4
124	4	135	12
125	5	65	8
126	3	113	8
127	4	131	25
128	6	103	22
129	2	107	3
130	4	55	10
131	6	133	24
132	3	27	23
133	6	101	1
134	3	7	13
135	4	19	18
136	3	135	17
137	4	127	10
138	2	45	21
139	4	35	19
140	2	119	9
141	2	89	3
142	2	133	5
143	6	75	24
144	6	47	6
145	4	29	20
146	2	145	13
147	3	39	17
148	4	15	6
149	6	97	16
150	5	107	10
151	3	42	1
152	2	65	24
153	4	54	17
154	6	35	5
155	5	34	2
156	4	79	11
157	4	56	3
158	3	71	21
159	6	61	1
160	2	83	23
161	3	65	25
162	2	101	16
163	4	141	22
164	4	77	22
165	4	30	21
166	2	44	21
167	2	69	19
168	4	47	3
169	2	31	6
170	3	49	5
171	3	19	15
