10	151	3	59	53	1	21	702
1	4	150
1	3	15
2	4	94
3	7	60
1	3	
2	2	
3	0	
4	0	
5	0	
6	3	
7	4	
8	3	
9	1	
10	2	
11	5	
12	5	
13	3	
14	3	
15	9	
16	4	
17	1	
18	1	
19	0	
20	2	
21	2	
1	2	0	0
2	3	0	0
3	5	0	0
4	7	0	0
5	4	0	0
6	4	0	0
7	4	0	0
8	2	0	0
9	7	0	0
10	7	0	0
11	6	0	0
12	7	0	0
13	2	0	0
14	2	0	0
15	7	0	0
16	3	0	0
17	2	0	0
18	4	0	0
19	3	0	0
20	5	0	0
21	2	0	0
22	3	0	0
23	6	0	0
24	5	0	0
25	5	0	0
26	6	0	0
27	6	0	0
28	5	0	0
29	3	0	0
30	2	0	0
31	6	0	0
32	4	0	0
33	7	0	0
34	2	0	0
35	4	0	0
36	6	0	0
37	7	0	0
38	7	0	0
39	4	0	0
40	5	0	0
41	4	0	0
42	4	0	0
43	4	0	0
44	2	0	0
45	3	0	0
46	4	0	0
47	7	0	0
48	7	0	0
49	3	0	0
50	6	0	0
51	3	0	0
52	6	0	0
53	7	0	0
54	7	0	0
55	4	0	0
56	7	0	0
57	5	0	0
58	2	0	0
59	4	0	0
60	5	133	12
61	7	43	17
62	6	129	4
63	4	31	20
64	2	93	14
65	2	143	8
66	3	15	21
67	6	41	4
68	5	123	16
69	5	63	7
70	3	27	19
71	6	149	5
72	4	131	17
73	7	135	11
74	2	21	14
75	4	57	3
76	7	11	9
77	6	125	20
78	5	75	13
79	5	127	20
80	7	93	9
81	7	7	7
82	2	101	10
83	2	107	18
84	3	9	17
85	6	43	5
86	2	69	15
87	3	85	17
88	6	63	14
89	3	135	1
90	3	29	19
91	7	77	10
92	3	89	1
93	5	11	17
94	3	7	17
95	5	93	1
96	2	73	14
97	4	41	17
98	2	35	11
99	2	109	1
100	6	9	3
101	3	149	6
102	7	101	4
103	2	39	4
104	2	135	1
105	3	43	20
106	3	129	13
107	6	69	2
108	5	5	9
109	2	59	2
110	7	123	8
111	6	13	9
112	3	23	15
113	2	141	10
114	4	7	10
115	6	67	5
116	5	45	7
117	4	39	2
118	5	59	15
119	5	31	2
120	2	142	8
121	5	139	3
122	5	85	15
123	6	79	10
124	7	91	7
125	3	119	14
126	4	109	1
127	2	47	7
128	4	129	20
129	2	61	6
130	2	13	13
131	7	21	15
132	4	5	21
133	4	77	21
134	3	103	15
135	5	27	18
136	7	55	21
137	2	83	13
138	6	55	12
139	7	9	11
140	7	139	15
141	5	25	1
142	3	37	2
143	6	135	11
144	3	95	1
145	5	103	14
146	5	117	6
147	2	75	8
148	5	49	21
149	7	15	13
150	3	115	16
151	3	53	6
152	7	1	10
153	6	139	10
154	7	143	10
155	5	143	20
156	2	111	12
157	3	137	7
158	2	103	18
159	5	9	6
160	3	35	19
161	6	105	5
162	2	87	19
163	3	77	13
164	7	105	15
165	2	65	16
166	6	99	5
167	3	93	5
168	5	15	6
169	3	65	16
170	3	141	7
171	5	81	17
172	4	93	14
173	5	53	2
174	2	74	16
175	3	127	15
176	5	17	12
177	4	119	8
178	5	16	21
179	3	3	20
180	3	87	5
181	5	111	6
182	4	81	19
183	3	47	19
184	4	27	2
185	7	71	18
186	6	3	16
187	7	8	19
188	4	53	20
189	7	57	9
190	4	67	4
191	6	5	4
192	4	125	8
193	3	109	4
194	7	5	19
