9	151	2	68	65	1	22	660
1	2	150
1	2	80
2	6	86
1	1	
2	3	
3	5	
4	4	
5	2	
6	1	
7	4	
8	7	
9	1	
10	2	
11	2	
12	1	
13	4	
14	4	
15	2	
16	3	
17	2	
18	8	
19	3	
20	3	
21	1	
22	2	
1	5	0	0
2	3	0	0
3	1	0	0
4	2	0	0
5	7	0	0
6	1	0	0
7	3	0	0
8	6	0	0
9	6	0	0
10	2	0	0
11	5	0	0
12	5	0	0
13	4	0	0
14	3	0	0
15	3	0	0
16	7	0	0
17	4	0	0
18	5	0	0
19	4	0	0
20	2	0	0
21	5	0	0
22	1	0	0
23	5	0	0
24	4	0	0
25	4	0	0
26	5	0	0
27	3	0	0
28	1	0	0
29	3	0	0
30	4	0	0
31	3	0	0
32	4	0	0
33	3	0	0
34	7	0	0
35	5	0	0
36	3	0	0
37	2	0	0
38	7	0	0
39	4	0	0
40	1	0	0
41	7	0	0
42	4	0	0
43	1	0	0
44	4	0	0
45	4	0	0
46	3	0	0
47	2	0	0
48	2	0	0
49	3	0	0
50	3	0	0
51	6	0	0
52	4	0	0
53	6	0	0
54	3	0	0
55	7	0	0
56	4	0	0
57	6	0	0
58	5	0	0
59	6	0	0
60	3	0	0
61	6	0	0
62	3	0	0
63	4	0	0
64	3	0	0
65	6	0	0
66	1	0	0
67	3	0	0
68	5	0	0
69	5	101	1
70	5	117	13
71	2	127	12
72	2	65	5
73	1	53	3
74	7	37	2
75	3	95	4
76	5	139	1
77	5	25	19
78	6	11	22
79	1	99	4
80	4	147	13
81	2	53	2
82	2	77	14
83	1	21	17
84	5	111	10
85	1	69	14
86	4	75	8
87	5	45	7
88	2	111	5
89	2	15	15
90	4	23	14
91	6	69	17
92	1	5	14
93	5	63	11
94	5	145	22
95	3	135	8
96	4	77	11
97	4	9	3
98	3	73	5
99	3	11	13
100	2	55	7
101	4	35	11
102	1	9	17
103	5	127	8
104	3	121	7
105	5	19	12
106	6	119	10
107	6	37	21
108	6	91	11
109	1	73	14
110	1	3	13
111	1	57	16
112	1	27	17
113	1	121	1
114	7	73	11
115	7	97	2
116	7	85	13
117	4	39	4
118	2	49	7
119	6	27	6
120	7	89	7
121	1	89	9
122	3	139	21
123	4	103	2
124	6	57	11
125	3	63	20
126	1	149	16
127	5	11	15
128	2	129	17
129	4	27	7
130	5	113	15
131	4	21	20
132	3	93	12
133	5	21	6
134	1	4	13
135	6	67	11
136	6	51	19
137	5	125	17
138	4	65	15
139	2	149	3
140	2	91	2
141	2	135	10
142	2	11	2
143	7	87	6
144	1	13	18
145	7	65	10
146	7	41	10
147	5	15	6
148	7	5	4
149	1	39	20
150	3	67	7
151	1	81	4
152	6	71	20
153	2	27	7
154	1	25	19
155	2	43	14
156	4	99	8
157	1	71	14
158	4	5	1
159	6	95	8
160	5	79	8
161	2	109	4
162	6	19	8
163	5	65	7
164	3	3	9
165	7	81	7
166	5	87	9
167	6	109	21
168	7	88	2
169	5	137	7
170	7	79	14
171	2	105	4
172	5	107	7
173	7	111	12
174	3	141	21
175	7	43	18
176	3	147	16
177	2	147	1
178	1	75	20
179	4	85	9
180	3	9	20
181	1	51	14
182	5	112	19
183	2	110	3
184	5	29	3
185	5	103	8
186	3	103	11
187	4	37	1
188	1	131	2
189	5	1	9
190	4	33	2
191	7	101	7
192	5	23	2
193	7	125	21
194	2	13	17
195	7	103	3
196	5	99	6
197	1	19	1
198	5	57	14
199	2	95	18
200	3	61	18
201	4	38	7
202	3	75	12
203	4	79	21
204	3	31	6
205	7	131	22
206	3	109	2
207	2	12	5
208	5	24	17
209	1	87	20
210	5	138	2
211	7	42	18
212	2	125	12
213	6	73	3
214	4	105	9
215	4	55	11
216	7	77	17
217	1	113	14
218	1	115	14
219	2	126	1
220	5	147	22
221	6	1	20
222	7	109	20
223	6	125	12
224	3	33	18
225	1	55	19
226	5	49	8
227	7	59	6
228	7	99	5
229	1	65	18
230	7	67	8
231	4	87	20
232	7	63	9
233	2	23	14
234	7	98	9
235	2	1	9
236	6	127	2
237	2	145	22
238	4	69	2
239	2	148	8
240	7	21	4
241	7	55	15
242	3	133	13
243	7	102	12
244	7	80	19
245	6	137	20
246	5	61	5
247	2	73	7
248	5	41	17
249	1	79	11
250	6	145	4
251	5	67	20
252	6	81	15
253	1	141	12
254	1	133	19
255	7	71	18
256	3	23	16
257	1	7	15
258	5	47	18
259	5	7	6
260	4	111	14
261	6	79	4
262	6	17	5
263	7	107	12
264	3	94	22
265	4	71	15
266	1	43	11
267	5	131	15
268	6	5	21
269	5	66	16
270	4	125	10
271	4	59	2
272	1	33	22
273	6	49	19
274	2	101	12
275	7	7	17
276	3	21	18
277	1	23	4
278	4	129	9
279	3	55	11
280	4	76	13
281	6	41	3
282	4	91	4
283	7	23	18
284	2	5	9
285	1	107	14
286	7	119	18
287	7	51	1
288	2	103	14
289	2	37	15
290	5	115	22
291	3	127	9
292	3	5	15
293	4	89	5
294	4	123	10
295	2	83	5
296	6	75	11
297	5	102	20
298	7	145	7
299	6	61	20
300	3	13	19
301	7	53	19
302	4	117	3
303	7	108	10
304	1	61	1
305	6	80	19
306	3	53	14
307	4	86	20
308	3	7	6
309	7	66	17
310	7	25	12
311	4	3	15
312	2	113	20
313	3	8	7
314	7	6	20
315	2	117	20
316	3	54	6
317	4	97	16
318	2	131	12
319	1	6	3
320	7	27	22
321	2	99	10
