10	151	3	52	45	1	28	627
1	6	150
1	0	32
2	2	69
3	9	10
1	2	
2	2	
3	1	
4	2	
5	1	
6	1	
7	0	
8	0	
9	2	
10	0	
11	0	
12	2	
13	4	
14	3	
15	1	
16	0	
17	3	
18	2	
19	3	
20	3	
21	3	
22	2	
23	0	
24	0	
25	2	
26	2	
27	3	
28	1	
1	4	0	0
2	4	0	0
3	3	0	0
4	3	0	0
5	5	0	0
6	6	0	0
7	3	0	0
8	3	0	0
9	2	0	0
10	2	0	0
11	6	0	0
12	7	0	0
13	7	0	0
14	4	0	0
15	4	0	0
16	5	0	0
17	4	0	0
18	7	0	0
19	4	0	0
20	4	0	0
21	3	0	0
22	7	0	0
23	4	0	0
24	2	0	0
25	7	0	0
26	6	0	0
27	7	0	0
28	7	0	0
29	7	0	0
30	2	0	0
31	7	0	0
32	5	0	0
33	5	0	0
34	2	0	0
35	2	0	0
36	4	0	0
37	7	0	0
38	4	0	0
39	2	0	0
40	7	0	0
41	2	0	0
42	7	0	0
43	5	0	0
44	3	0	0
45	2	0	0
46	6	0	0
47	3	0	0
48	5	0	0
49	5	0	0
50	7	0	0
51	7	0	0
52	6	0	0
53	7	13	28
54	6	69	14
55	7	105	3
56	4	77	26
57	6	71	11
58	3	117	4
59	2	119	6
60	4	1	25
61	3	83	27
62	5	127	28
63	6	127	15
64	4	11	14
65	3	115	4
66	2	39	4
67	4	97	11
68	3	81	28
69	2	113	5
70	6	39	17
71	4	9	18
72	4	107	24
73	7	131	5
74	2	99	22
75	5	61	12
76	2	129	24
77	4	47	12
78	3	145	20
79	3	97	25
80	3	116	10
81	5	131	8
82	3	31	23
83	2	35	9
84	4	135	11
85	2	111	9
86	2	9	27
87	5	17	22
88	5	43	18
89	5	27	23
90	2	17	18
91	4	69	17
92	7	79	26
93	4	10	6
94	6	93	1
95	2	59	16
96	6	59	7
97	3	19	11
98	7	103	2
99	4	109	18
100	6	133	19
101	6	49	22
102	5	133	8
103	4	63	6
104	4	31	18
105	7	69	20
106	3	17	14
107	7	47	11
108	7	119	2
109	4	43	9
110	6	149	24
111	5	49	13
112	3	127	16
113	5	95	22
114	6	115	4
115	7	5	14
116	3	25	25
117	2	5	10
118	7	97	19
119	7	133	19
120	5	19	23
121	7	19	4
122	2	103	11
123	4	59	8
124	4	49	23
125	4	91	26
126	6	35	4
127	6	147	27
128	2	135	8
129	4	125	3
130	6	15	18
131	4	79	7
132	6	141	12
133	5	29	9
134	4	139	15
135	4	115	9
136	2	75	20
137	6	145	28
138	2	19	12
139	4	19	27
140	3	11	10
141	4	83	27
142	6	79	26
143	6	129	2
144	2	69	2
145	3	41	19
146	3	39	25
147	6	146	25
148	4	103	18
149	4	21	20
150	7	59	3
151	7	1	24
152	4	65	4
153	7	27	28
154	4	7	23
155	7	129	21
156	7	113	15
157	7	107	10
158	3	59	13
159	5	39	25
160	6	17	13
161	3	61	12
162	4	15	22
163	2	97	6
164	6	89	26
165	5	113	12
166	2	55	19
167	2	81	3
168	5	87	16
169	5	111	18
170	2	109	23
171	6	105	8
172	2	139	13
173	6	143	20
174	2	98	19
175	6	45	28
176	2	117	14
177	2	37	12
178	7	95	11
179	5	67	18
180	2	1	18
181	3	105	12
182	3	79	15
183	6	77	7
184	4	141	23
185	7	33	19
186	7	111	25
187	7	11	24
188	6	109	27
189	3	111	25
190	4	140	12
191	3	57	2
192	3	101	18
193	3	139	17
194	6	19	19
195	3	73	5
196	2	45	27
197	6	7	14
198	5	101	9
199	2	33	18
200	7	35	15
201	3	123	5
202	7	147	1
203	2	123	7
204	6	111	6
205	6	97	26
206	2	143	18
207	6	29	17
208	4	133	6
209	3	29	18
210	3	99	3
211	6	41	21
212	6	5	18
213	6	43	26
214	4	3	8
215	4	35	12
216	2	110	19
217	2	121	14
218	3	23	1
219	3	45	7
220	5	81	2
221	5	28	13
222	6	42	9
223	2	29	12
224	4	73	1
225	2	87	10
226	3	9	12
227	4	129	19
228	3	40	15
229	6	11	8
230	4	123	6
