number fo coils	322
number of rows (r)	17
number fo columns (n)	29
number of doors	1
number of types	30
number of cranes	3
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeDistance	1
door	r	n
1	6	28
crane	r	n
1	5	24
2	11	5
3	14	3
	door
Type	1	
1	3	
2	0	
3	1	
4	1	
5	0	
6	0	
7	1	
8	0	
9	0	
10	0	
11	1	
12	0	
13	0	
14	0	
15	1	
16	2	
17	3	
18	0	
19	2	
20	1	
21	2	
22	1	
23	0	
24	1	
25	2	
26	0	
27	1	
28	0	
29	1	
30	0	
coil	r	n	type
1	12	0	0
2	8	0	0
3	4	0	0
4	2	0	0
5	5	0	0
6	14	0	0
7	8	0	0
8	2	0	0
9	12	0	0
10	10	0	0
11	6	0	0
12	14	0	0
13	12	0	0
14	9	0	0
15	5	0	0
16	2	0	0
17	5	0	0
18	4	0	0
19	9	0	0
20	2	0	0
21	8	0	0
22	4	0	0
23	2	0	0
24	6	23	10
25	10	15	1
26	4	9	20
27	12	5	26
28	2	9	24
29	4	21	21
30	13	9	2
31	4	19	20
32	14	15	22
33	12	21	11
34	5	13	19
35	9	21	9
36	2	3	19
37	4	27	1
38	11	9	8
39	4	3	20
40	9	27	13
41	12	17	23
42	9	25	28
43	5	27	11
44	2	15	23
45	6	9	6
46	10	1	28
47	7	5	30
48	2	23	17
49	10	23	9
50	10	21	26
51	13	1	23
52	11	15	12
53	10	22	17
54	7	25	23
55	3	25	24
56	9	23	17
57	3	1	14
58	5	11	14
59	2	13	2
60	8	5	14
61	6	19	15
62	6	15	12
63	11	17	3
64	5	15	8
65	9	22	6
66	10	7	27
67	5	14	23
68	10	11	3
69	2	17	8
70	14	21	22
71	14	17	9
72	10	19	16
73	10	5	2
74	13	25	28
75	12	13	18
76	8	25	19
77	13	27	6
78	9	3	10
79	7	27	10
80	11	27	28
81	6	17	7
82	13	17	30
83	4	25	22
84	9	19	10
85	14	11	6
86	8	3	24
87	3	17	22
88	9	17	2
89	9	26	24
90	14	1	19
91	5	19	10
92	9	1	12
93	12	1	29
94	2	19	25
95	5	17	9
96	11	25	22
97	10	17	1
98	7	23	22
99	9	5	20
100	7	3	26
101	9	15	17
102	3	9	17
103	4	15	22
104	10	25	4
105	12	27	15
106	8	21	20
107	10	13	2
108	13	11	1
109	14	7	13
110	6	27	8
111	14	3	23
112	3	7	18
113	11	11	22
114	5	25	3
115	7	15	26
116	12	15	8
117	10	9	29
118	4	7	22
119	6	5	29
120	5	9	29
121	11	1	28
122	4	17	23
123	10	16	1
124	6	3	15
125	8	17	12
126	2	1	2
127	8	9	3
128	5	1	23
129	11	21	16
130	2	21	14
131	12	11	13
132	11	26	25
133	11	10	7
134	5	7	17
135	4	8	29
136	2	18	24
137	6	21	12
138	10	18	24
139	14	19	10
140	9	20	16
141	12	23	23
142	4	26	29
143	14	2	17
144	4	18	12
145	7	4	12
146	7	7	22
147	6	4	23
148	11	19	1
149	3	27	11
150	4	16	19
151	3	8	21
152	14	9	13
153	4	20	7
154	5	26	29
155	8	1	11
156	4	13	5
157	10	24	15
158	14	8	23
159	6	18	26
160	14	10	11
161	8	7	24
162	9	4	16
163	6	16	2
164	12	12	15
165	14	20	23
166	10	20	8
167	11	7	4
168	7	26	25
169	5	3	10
170	8	23	19
171	5	18	29
172	3	13	13
173	7	13	4
174	11	8	13
175	12	14	22
176	8	19	8
177	10	3	16
178	9	7	2
179	8	8	2
180	10	12	17
181	10	27	11
182	3	3	17
183	9	16	27
184	12	16	21
185	6	22	5
186	9	24	12
187	13	19	12
188	13	26	11
189	10	8	10
190	7	17	18
191	3	21	14
