number fo coils	326
number of rows (r)	17
number fo columns (n)	29
number of doors	1
number of types	20
number of cranes	3
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeDistance	1
door	r	n
1	11	28
crane	r	n
1	0	20
2	10	14
3	16	12
	door
Type	1	
1	2	
2	0	
3	2	
4	0	
5	1	
6	2	
7	1	
8	2	
9	1	
10	0	
11	1	
12	0	
13	1	
14	0	
15	2	
16	0	
17	0	
18	1	
19	2	
20	2	
coil	r	n	type
1	8	0	0
2	12	0	0
3	12	0	0
4	2	0	0
5	10	0	0
6	14	0	0
7	9	0	0
8	6	0	0
9	14	0	0
10	2	0	0
11	12	0	0
12	3	0	0
13	14	0	0
14	5	0	0
15	3	0	0
16	3	0	0
17	8	0	0
18	9	0	0
19	5	0	0
20	9	0	0
21	10	0	0
22	3	0	0
23	4	0	0
24	2	0	0
25	14	0	0
26	13	25	16
27	5	23	8
28	12	1	13
29	5	15	10
30	5	13	11
31	14	17	10
32	2	11	16
33	5	19	6
34	4	5	15
35	10	11	19
36	3	15	12
37	6	5	6
38	9	3	1
39	10	7	9
40	14	1	15
41	7	11	12
42	12	3	1
43	11	15	4
44	5	21	20
45	4	25	9
46	9	1	14
47	11	13	15
48	4	1	13
49	7	27	16
50	2	7	7
51	9	5	8
52	9	21	4
53	13	23	7
54	8	13	1
55	13	13	15
56	9	4	18
57	9	13	11
58	3	21	8
59	11	19	20
60	2	17	3
61	2	5	4
62	8	25	5
63	7	13	10
64	14	7	12
65	3	11	19
66	10	17	18
67	7	9	13
68	4	27	1
69	2	3	13
70	4	13	9
71	12	5	5
72	4	9	10
73	8	15	14
74	3	23	4
75	10	25	16
76	5	20	9
77	12	21	19
78	6	13	7
79	14	19	8
80	13	5	9
81	8	17	19
82	7	12	19
83	3	27	3
84	9	11	19
85	7	3	3
86	7	21	2
87	14	9	13
88	8	5	16
89	2	15	1
90	13	7	15
91	7	5	15
92	9	12	7
93	2	9	4
94	4	3	10
95	7	15	18
96	4	19	13
97	5	22	15
98	7	4	16
99	6	27	5
100	8	1	7
101	5	1	4
102	14	25	10
103	8	21	17
104	11	23	2
105	10	13	11
106	7	7	18
107	12	7	1
108	3	5	15
109	2	10	13
110	8	16	20
111	2	19	1
112	11	27	10
113	7	6	15
114	6	9	2
115	13	1	13
116	9	27	16
117	12	23	9
118	11	9	4
119	14	18	10
120	4	2	4
121	11	3	1
122	10	12	17
123	10	23	6
124	2	25	17
125	13	3	5
126	4	26	14
127	7	17	8
128	6	21	4
129	12	9	7
130	10	19	14
131	11	25	11
132	9	9	18
133	3	3	11
134	5	17	4
135	10	15	19
136	4	4	9
137	14	11	15
138	9	19	20
139	3	7	16
140	3	4	14
141	14	23	9
142	9	25	10
143	14	8	16
144	11	1	6
145	5	3	9
146	13	9	11
147	11	2	6
148	13	27	1
149	14	5	2
150	13	6	1
151	3	25	18
152	8	23	15
153	10	1	9
154	2	23	13
155	8	24	7
156	4	15	17
157	10	27	17
158	2	24	3
159	4	21	20
160	4	23	6
161	3	17	19
162	2	21	1
163	10	21	6
164	13	11	8
165	5	9	8
166	11	17	20
167	3	1	19
168	8	14	17
169	5	5	14
170	4	11	8
171	10	14	18
172	9	15	17
173	11	5	16
174	6	15	3
175	10	5	10
176	11	18	14
177	9	14	10
178	3	2	4
179	4	20	7
180	12	25	3
181	11	16	13
182	9	2	13
183	13	10	3
184	9	26	10
185	8	9	4
186	4	7	9
187	10	20	15
188	2	16	5
189	7	16	4
190	14	10	13
191	6	17	7
192	5	27	13
193	14	15	15
194	14	16	12
195	4	6	9
196	6	14	16
197	9	17	20
198	14	13	2
199	12	27	14
200	10	6	4
201	14	12	13
202	4	10	3
203	13	19	10
204	13	26	5
205	13	12	15
206	7	10	14
207	7	8	16
208	6	16	13
209	12	4	17
210	6	23	5
211	6	7	5
212	3	22	17
213	8	3	6
214	7	1	19
215	11	21	10
216	5	4	20
217	10	3	11
218	9	20	10
219	12	2	20
220	9	7	20
221	10	2	16
222	14	6	5
223	8	2	6
