number fo coils	184
number of rows (r)	12
number fo columns (n)	29
number of doors	1
number of types	25
number of cranes	2
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeDistance	1
door	r	n
1	9	28
crane	r	n
1	5	0
2	6	2
	door
Type	1	
1	1	
2	0	
3	0	
4	1	
5	1	
6	0	
7	1	
8	0	
9	2	
10	1	
11	0	
12	1	
13	0	
14	0	
15	0	
16	0	
17	2	
18	2	
19	0	
20	0	
21	1	
22	2	
23	1	
24	1	
25	0	
coil	r	n	type
1	4	0	0
2	3	0	0
3	6	0	0
4	7	0	0
5	5	0	0
6	8	0	0
7	6	0	0
8	3	0	0
9	10	0	0
10	9	0	0
11	8	0	0
12	4	0	0
13	7	0	0
14	8	17	10
15	9	27	9
16	8	27	11
17	3	13	14
18	1	25	5
19	2	5	21
20	10	25	3
21	7	23	25
22	2	19	14
23	1	3	3
24	9	13	3
25	9	9	14
26	6	9	4
27	4	5	6
28	7	1	11
29	3	15	11
30	2	15	12
31	4	27	22
32	9	7	17
33	1	5	9
34	8	21	14
35	4	7	4
36	5	25	21
37	5	11	17
38	10	3	8
39	8	13	7
40	8	23	6
41	9	17	17
42	6	11	10
43	9	5	17
44	2	1	2
45	10	27	18
46	10	23	18
47	7	17	14
48	8	5	21
49	2	17	13
50	6	17	17
51	4	17	8
52	9	25	18
53	1	15	19
54	8	19	16
55	4	19	8
56	8	3	25
57	7	27	24
58	7	25	19
59	4	23	12
60	9	8	9
61	3	17	18
62	7	19	16
63	3	5	20
64	2	25	23
65	7	24	1
66	2	27	6
67	9	19	3
68	2	16	14
69	1	4	21
70	4	25	2
71	8	4	12
72	9	23	16
73	1	7	24
74	1	17	19
75	9	26	25
76	6	19	18
77	9	11	5
78	6	7	16
79	10	1	6
80	7	7	7
81	7	21	21
82	10	7	8
83	3	1	12
84	4	15	15
85	1	11	4
86	4	26	14
87	2	21	20
88	6	15	20
89	6	16	25
90	9	1	7
91	8	22	11
92	1	13	25
93	8	9	12
94	8	7	14
95	10	15	7
96	9	24	16
97	5	3	2
98	7	5	3
99	7	18	11
100	7	3	15
101	10	19	12
102	10	26	19
103	2	11	24
104	9	3	22
105	3	16	18
106	10	13	18
107	10	9	7
108	8	11	4
109	10	2	18
110	9	18	17
111	8	6	19
112	7	2	19
113	4	21	7
114	4	3	2
115	5	9	9
116	4	20	15
117	7	15	1
118	4	6	7
119	1	6	7
120	7	4	16
121	9	4	17
122	9	12	25
123	6	10	4
124	1	19	1
125	8	1	9
126	5	1	3
127	7	26	21
128	4	18	23
129	9	21	24
130	6	27	22
131	9	10	13
132	10	17	11
133	7	20	2
134	3	21	15
135	8	20	7
136	6	3	14
137	7	6	4
138	1	14	6
139	9	22	24
140	2	9	4
141	3	27	6
142	9	15	24
143	1	27	22
144	1	18	18
145	5	21	18
146	7	22	20
147	8	10	1
148	8	2	11
149	2	23	10
150	4	13	15
151	2	22	12
152	6	13	7
153	2	24	19
154	5	19	14
155	1	9	12
156	4	14	16
157	10	16	9
158	6	18	13
159	5	20	16
160	6	1	22
161	3	25	13
162	5	7	24
163	4	24	16
164	4	22	19
165	5	13	10
166	3	3	15
167	4	4	13
168	3	23	20
169	1	26	8
170	3	24	9
171	2	18	9
172	10	8	22
173	9	14	3
174	5	8	12
175	7	13	10
176	10	11	12
177	1	21	10
178	10	5	13
179	5	5	12
180	10	18	9
181	5	6	15
182	6	23	17
183	8	25	9
184	10	12	9
