number fo coils	225
number of rows (r)	14
number fo columns (n)	29
number of doors	1
number of types	26
number of cranes	2
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeDistance	1
door	r	n
1	8	28
crane	r	n
1	5	0
2	10	0
	door
Type	1	
1	2	
2	1	
3	0	
4	1	
5	1	
6	1	
7	0	
8	1	
9	0	
10	1	
11	0	
12	0	
13	0	
14	0	
15	1	
16	1	
17	2	
18	1	
19	1	
20	2	
21	1	
22	0	
23	0	
24	0	
25	1	
26	2	
coil	r	n	type
1	7	0	0
2	9	0	0
3	10	0	0
4	5	0	0
5	3	0	0
6	8	0	0
7	9	0	0
8	3	0	0
9	6	0	0
10	9	0	0
11	9	0	0
12	10	0	0
13	7	0	0
14	3	0	0
15	7	0	0
16	4	0	0
17	5	0	0
18	1	0	0
19	12	21	18
20	5	19	22
21	10	9	24
22	8	25	8
23	2	7	1
24	10	27	6
25	2	25	21
26	7	17	9
27	7	21	26
28	9	21	1
29	5	27	1
30	8	9	20
31	8	5	9
32	10	3	19
33	8	27	10
34	10	5	6
35	4	13	19
36	11	11	9
37	8	13	19
38	11	27	25
39	9	3	25
40	6	27	19
41	5	5	6
42	7	11	25
43	3	7	6
44	8	23	14
45	7	23	10
46	8	15	25
47	1	19	17
48	3	21	13
49	2	13	25
50	8	7	20
51	3	27	16
52	12	15	12
53	10	4	6
54	9	25	23
55	2	1	21
56	4	27	13
57	6	25	24
58	5	15	11
59	10	23	22
60	7	3	12
61	9	27	6
62	9	7	25
63	2	3	24
64	4	5	26
65	6	13	12
66	11	19	19
67	4	21	21
68	6	15	20
69	4	9	4
70	6	26	26
71	7	9	21
72	6	5	21
73	1	5	4
74	6	11	5
75	3	25	22
76	10	19	8
77	6	9	4
78	1	13	1
79	6	12	26
80	4	25	2
81	2	2	19
82	6	3	18
83	6	10	16
84	3	3	19
85	6	23	17
86	2	15	17
87	12	19	14
88	6	14	24
89	12	3	23
90	9	26	26
91	7	7	3
92	11	9	17
93	11	13	14
94	4	17	5
95	11	15	12
96	12	5	9
97	12	17	24
98	1	7	21
99	6	1	20
100	12	27	11
101	11	12	19
102	11	17	17
103	11	7	2
104	7	15	24
105	3	19	4
106	3	23	4
107	1	11	9
108	10	13	23
109	3	22	21
110	1	6	13
111	5	11	1
112	3	24	26
113	4	26	21
114	8	6	25
115	8	21	4
116	9	9	1
117	1	17	14
118	1	15	20
119	6	19	3
120	11	8	18
121	2	5	11
122	9	8	16
123	4	7	17
124	5	13	13
125	5	25	5
126	12	16	16
127	12	18	9
128	2	19	25
129	7	22	19
130	2	14	24
131	5	3	14
132	8	1	3
133	11	5	5
134	2	11	14
135	6	17	23
136	10	1	23
137	1	18	8
138	8	17	25
139	2	9	10
140	11	16	5
141	10	21	9
142	12	25	9
143	6	21	25
144	4	15	19
145	9	19	3
146	1	3	17
147	7	25	1
148	9	15	15
149	7	24	23
150	1	1	2
151	8	24	21
152	4	1	13
153	11	18	25
154	2	4	15
155	6	22	5
156	6	18	10
157	4	14	16
158	9	13	25
159	8	16	2
160	4	6	18
161	1	2	10
162	2	27	6
163	5	4	22
164	12	13	22
165	2	8	22
166	6	20	6
167	9	1	20
168	3	26	20
169	4	11	5
170	11	10	10
171	4	19	17
172	5	12	7
173	5	17	18
174	1	12	19
175	12	20	13
176	3	20	25
177	2	21	9
178	2	17	5
179	2	6	25
180	12	4	22
181	10	7	24
182	5	14	3
183	6	7	18
184	10	8	6
185	6	6	18
186	10	2	19
187	10	17	12
188	12	9	10
189	11	14	22
190	6	8	5
191	3	17	23
192	5	23	11
193	4	3	26
194	3	15	2
195	6	16	12
196	1	27	7
197	7	10	22
198	5	24	8
199	10	18	18
200	1	21	15
201	10	20	13
202	4	16	26
203	12	26	25
204	8	8	17
205	4	18	19
206	7	8	23
207	4	2	13
208	11	6	14
209	5	26	8
210	3	18	7
211	12	7	25
212	8	26	15
213	7	16	14
214	7	1	15
215	11	25	6
216	10	25	25
217	2	20	11
218	12	1	18
219	3	13	7
220	12	14	6
221	12	11	14
222	7	5	26
223	12	8	6
224	9	5	2
225	5	1	12
