number fo coils	224
number of rows (r)	13
number fo columns (n)	29
number of doors	1
number of types	29
number of cranes	2
v1	1
v2	2
lambda1	2
lambda2	4
mu	0.5
RowDisUnit	4
ColDisUnit	2
RowDisUnit_2	4
ColDisUnit_2	2
safeDistance	1
door	r	n
1	10	28
crane	r	n
1	1	1
2	5	19
	door
Type	1	
1	0	
2	0	
3	2	
4	0	
5	1	
6	0	
7	1	
8	1	
9	0	
10	2	
11	1	
12	0	
13	0	
14	0	
15	2	
16	0	
17	0	
18	2	
19	0	
20	0	
21	0	
22	1	
23	0	
24	0	
25	0	
26	1	
27	0	
28	1	
29	0	
coil	r	n	type
1	8	0	0
2	11	0	0
3	5	0	0
4	6	0	0
5	9	0	0
6	2	0	0
7	5	0	0
8	3	0	0
9	4	0	0
10	3	0	0
11	1	0	0
12	3	0	0
13	11	0	0
14	2	0	0
15	11	0	0
16	4	0	0
17	4	0	0
18	4	25	29
19	4	15	27
20	11	19	22
21	2	9	19
22	7	15	19
23	1	9	11
24	1	21	6
25	4	9	4
26	3	1	23
27	1	27	26
28	4	5	19
29	11	3	13
30	6	15	9
31	1	1	9
32	3	19	20
33	6	5	6
34	1	19	15
35	6	13	2
36	9	7	23
37	9	1	7
38	4	23	26
39	3	11	16
40	5	19	24
41	3	23	1
42	9	13	3
43	9	19	10
44	10	27	15
45	1	25	21
46	2	3	26
47	6	9	20
48	9	23	25
49	5	27	27
50	3	15	25
51	5	3	17
52	9	15	8
53	5	25	12
54	2	5	25
55	7	27	12
56	6	23	12
57	1	23	20
58	2	1	29
59	8	5	5
60	1	20	3
61	5	9	17
62	6	27	22
63	5	26	25
64	5	13	1
65	7	7	14
66	7	11	8
67	5	5	16
68	7	21	20
69	4	27	14
70	9	27	10
71	4	13	1
72	1	26	20
73	4	17	20
74	11	9	23
75	9	5	23
76	4	21	8
77	4	22	3
78	8	3	22
79	2	23	29
80	5	11	17
81	2	7	2
82	7	1	3
83	2	2	5
84	2	13	15
85	3	9	12
86	10	11	3
87	7	25	17
88	6	14	9
89	10	5	22
90	8	7	9
91	1	3	17
92	7	3	20
93	3	25	7
94	5	21	7
95	1	13	23
96	9	9	10
97	3	21	4
98	6	1	7
99	10	21	25
100	2	4	3
101	10	9	10
102	10	17	7
103	2	25	6
104	4	16	12
105	5	23	7
106	2	21	11
107	9	11	1
108	10	7	15
109	11	25	21
110	3	20	20
111	5	20	26
112	8	25	12
113	1	2	11
114	10	10	10
115	6	21	19
116	11	15	24
117	10	6	11
118	11	23	20
119	9	10	5
120	10	15	29
121	8	1	26
122	10	8	24
123	11	21	5
124	3	10	5
125	10	23	23
126	9	25	27
127	8	2	3
128	4	11	22
129	2	24	7
130	7	19	22
131	6	11	15
132	2	27	19
133	11	11	9
134	8	17	4
135	7	13	25
136	11	17	15
137	3	7	27
138	7	5	1
139	2	26	20
140	3	22	21
141	11	27	22
142	5	22	16
143	2	19	22
144	6	10	26
145	4	7	28
146	4	12	22
147	11	20	25
148	7	2	27
149	11	24	10
150	6	7	12
151	10	16	21
152	6	12	22
153	5	15	1
154	9	26	1
155	4	10	6
156	7	20	5
157	10	25	20
158	6	3	16
159	9	24	17
160	1	22	25
161	9	17	15
162	6	2	11
163	1	7	24
164	6	22	9
165	5	17	12
166	7	9	18
167	11	5	10
168	1	8	25
169	6	4	29
170	8	23	3
171	5	16	25
172	2	17	29
173	3	27	20
174	8	9	4
175	9	8	5
176	4	1	7
177	11	26	12
178	3	26	8
179	11	16	14
180	7	12	12
181	8	19	15
182	6	6	13
183	8	24	7
184	11	18	5
185	11	10	12
186	8	6	23
187	6	19	14
188	5	18	17
189	11	7	29
190	7	23	10
191	2	8	18
192	3	8	2
193	8	13	1
194	9	16	1
195	10	3	20
196	3	5	13
197	9	3	28
198	9	18	13
199	1	15	20
200	1	11	27
201	9	2	4
202	4	26	7
203	3	24	11
204	1	5	9
205	5	24	13
206	11	6	22
207	8	15	11
208	11	8	20
209	7	22	23
210	6	17	27
211	9	6	21
212	8	18	1
213	10	13	6
214	9	12	8
215	7	10	14
216	10	22	23
217	10	12	10
218	4	14	14
219	7	17	14
220	7	6	27
221	2	11	16
222	2	20	28
223	8	14	12
224	8	27	27
